,Scheme,Version,Problem,Level,Variant,Implementation,Key Generation [%],Sign [%],Verify [%]
0,cross,1.2,sdp,1,balance,ref,52.5,51.4,70.6
1,cross,1.2,sdp,1,small,profile,19.5,52.6,77.0
2,cross,1.2,sdp,1,small,ref,52.5,51.0,77.6
3,cross,1.2,sdp,3,balance,ref,58.1,40.8,64.0
4,cross,1.2,sdp,3,small,ref,58.1,40.6,71.3
5,cross,1.2,sdp,5,balance,ref,56.8,32.6,58.5
6,cross,1.2,sdp,5,small,ref,0.0,0.0,0.0
7,cross,1.2,sdpg,1,balance,ref,49.5,62.3,62.7
8,cross,1.2,sdpg,1,small,ref,49.5,61.6,64.5
9,cross,1.2,sdpg,3,balance,ref,50.5,51.5,49.8
10,cross,1.2,sdpg,3,small,ref,50.5,49.7,54.2
11,cross,1.2,sdpg,5,balance,ref,49.5,48.0,45.7
12,cross,1.2,sdpg,5,small,ref,49.5,46.2,49.2
13,cross,2.0,sdp,1,balance,light,63.5,54.4,69.7
14,cross,2.0,sdp,1,balance,ref,63.8,51.4,70.8
15,cross,2.0,sdp,1,fast,light,63.5,45.5,49.8
16,cross,2.0,sdp,1,fast,ref,63.8,44.8,49.3
17,cross,2.0,sdp,1,small,light,63.5,53.2,75.8
18,cross,2.0,sdp,1,small,ref,63.8,52.9,75.6
19,cross,2.0,sdp,3,balance,light,65.2,43.9,66.4
20,cross,2.0,sdp,3,balance,ref,65.0,43.7,65.2
21,cross,2.0,sdp,3,fast,light,65.2,39.4,45.0
22,cross,2.0,sdp,3,fast,ref,65.0,41.2,44.4
23,cross,2.0,sdp,3,small,light,65.2,46.4,71.1
24,cross,2.0,sdp,3,small,ref,0.0,0.0,0.0
25,cross,2.0,sdp,5,balance,light,65.2,37.4,60.7
26,cross,2.0,sdp,5,balance,ref,0.0,0.0,0.0
27,cross,2.0,sdp,5,fast,light,65.2,33.9,39.8
28,cross,2.0,sdp,5,fast,ref,66.3,31.9,39.2
29,cross,2.0,sdp,5,small,light,65.2,35.8,67.8
30,cross,2.0,sdpg,1,balance,light,54.3,63.9,63.2
31,cross,2.0,sdpg,1,balance,ref,69.0,62.3,63.2
32,cross,2.0,sdpg,1,fast,light,54.3,54.9,52.7
33,cross,2.0,sdpg,1,fast,ref,69.0,54.2,51.9
34,cross,2.0,sdpg,1,small,light,54.3,64.5,64.3
35,cross,2.0,sdpg,1,small,ref,69.0,62.3,64.2
36,cross,2.0,sdpg,3,balance,light,55.9,55.1,54.6
37,cross,2.0,sdpg,3,balance,ref,68.5,53.6,54.1
38,cross,2.0,sdpg,3,fast,light,55.9,48.5,46.8
39,cross,2.0,sdpg,3,fast,ref,68.5,48.1,46.1
40,cross,2.0,sdpg,3,small,light,55.9,55.9,57.8
41,cross,2.0,sdpg,3,small,ref,68.5,52.5,57.7
42,cross,2.0,sdpg,5,balance,light,54.6,47.5,46.2
43,cross,2.0,sdpg,5,balance,ref,67.6,45.5,46.1
44,cross,2.0,sdpg,5,fast,light,54.6,43.2,40.4
45,cross,2.0,sdpg,5,fast,ref,67.6,42.4,39.8
46,cross,2.0,sdpg,5,small,light,54.6,48.1,48.7
47,cross,2.0,sdpg,5,small,ref,0.0,0.0,0.0
