,Scheme,Version,Problem,Level,Variant,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Sign [cycles] (mean),Sign [cycles] (min),Sign [cycles] (max),Verify [cycles] (mean),Verify [cycles] (min),Verify [cycles] (max)
0,cross,1.2,sdp,1,balance,ref,484520,480073,490875,38852351,38847866,38860222,18276003,18262632,18281467
1,cross,1.2,sdp,1,small,profile,1308016,1307349,1308443,145791910,145782351,145803591,66358034,66346021,66372779
2,cross,1.2,sdp,1,small,ref,484521,480070,490870,144695261,144681771,144711601,65817398,65799640,65830946
3,cross,1.2,sdp,3,balance,ref,1058594,1054382,1064656,96624908,96612859,96639489,39505440,39493897,39516849
4,cross,1.2,sdp,3,small,ref,1058591,1054383,1064657,202429580,202413504,202439248,82484576,82468886,82494647
5,cross,1.2,sdp,5,balance,ref,1894177,1889254,1900778,184086538,184068855,184102315,69493034,69462149,69508780
6,cross,1.2,sdp,5,small,ref,0,0,0,0,0,0,0,0,0
7,cross,1.2,sdpg,1,balance,ref,250761,246586,256965,25164960,25161327,25172468,14990928,14977425,15002738
8,cross,1.2,sdpg,1,small,ref,250767,246586,256968,88253379,88246651,88265370,53635644,53629152,53651465
9,cross,1.2,sdpg,3,balance,ref,542553,538577,548541,36332488,36321640,36342120,22179010,22169771,22185100
10,cross,1.2,sdpg,3,small,ref,542551,538575,548539,132397801,132384623,132409674,79663899,79654779,79678766
11,cross,1.2,sdpg,5,balance,ref,925203,920850,931591,73417124,73409381,73422863,45606845,45600649,45612514
12,cross,1.2,sdpg,5,small,ref,925202,920846,931585,194842140,194833015,194855353,122110915,122101680,122122377
13,cross,2.0,sdp,1,balance,light,533033,528634,539567,40293954,40194216,40373758,18977575,18974698,18979415
14,cross,2.0,sdp,1,balance,ref,400650,396532,406791,38983168,38980338,38989162,18644695,18641906,18646394
15,cross,2.0,sdp,1,fast,light,532941,528786,538945,22745959,22742352,22755422,11696706,11693738,11699713
16,cross,2.0,sdp,1,fast,ref,400623,396550,406579,21223819,21219962,21233414,11766667,11763832,11769745
17,cross,2.0,sdp,1,small,light,532914,528876,539058,84605241,84469770,84730670,36467252,36463638,36470254
18,cross,2.0,sdp,1,small,ref,400624,396633,406695,76715899,76709631,76727441,36498517,36495033,36501029
19,cross,2.0,sdp,3,balance,light,1215681,1211227,1222006,101752194,101593856,101855720,41089159,41086021,41093911
20,cross,2.0,sdp,3,balance,ref,964686,960476,970769,92882590,92872807,92888911,41773187,41770225,41776840
21,cross,2.0,sdp,3,fast,light,1215877,1211544,1222116,59803996,59795815,59810789,30882828,30880465,30884581
22,cross,2.0,sdp,3,fast,ref,964827,960654,970897,53999005,53990034,54006082,31198630,31195841,31200867
23,cross,2.0,sdp,3,small,light,1216095,1211737,1221965,145928874,145796231,146011304,58690386,58687158,58693846
24,cross,2.0,sdp,3,small,ref,0,0,0,0,0,0,0,0,0
25,cross,2.0,sdp,5,balance,light,2170948,2166152,2177793,185337835,185228805,185401888,73344995,73338562,73351044
26,cross,2.0,sdp,5,balance,ref,0,0,0,0,0,0,0,0,0
27,cross,2.0,sdp,5,fast,light,2170509,2165875,2177722,112469383,112461404,112474892,58067807,58063126,58070777
28,cross,2.0,sdp,5,fast,ref,1672453,1668119,1678926,108904802,108896889,108910455,58704831,58699192,58707456
29,cross,2.0,sdp,5,small,light,2170480,2165832,2177058,299053730,298908433,299223634,108909420,108904067,108913303
30,cross,2.0,sdpg,1,balance,light,278805,274614,284970,28477562,28396665,28497326,15996387,15995441,15998082
31,cross,2.0,sdpg,1,balance,ref,196606,192527,202690,26038462,26036450,26046319,15931333,15930314,15932965
32,cross,2.0,sdpg,1,fast,light,278902,274655,285065,13734626,13732590,13743858,7720090,7718915,7721866
33,cross,2.0,sdpg,1,fast,ref,196637,192575,202634,12417006,12414978,12426241,7770754,7769490,7772445
34,cross,2.0,sdpg,1,small,light,278811,274623,284756,57256947,57208405,57333713,31963079,31961093,31965296
35,cross,2.0,sdpg,1,small,ref,196599,192535,202558,51828623,51826429,51835628,31857047,31855150,31859441
36,cross,2.0,sdpg,3,balance,light,609648,605360,615790,42693184,42619783,42791712,25413352,25411698,25414841
37,cross,2.0,sdpg,3,balance,ref,417451,413341,423507,40330228,40323461,40336548,25539740,25538298,25541249
38,cross,2.0,sdpg,3,fast,light,609684,605494,615624,32210931,32204163,32218080,19309925,19308340,19312372
39,cross,2.0,sdpg,3,fast,ref,417483,413297,423516,29894474,29887714,29901653,19490499,19487994,19492850
40,cross,2.0,sdpg,3,small,light,609702,605252,615816,81051433,80929072,81126312,48613733,48611787,48615386
41,cross,2.0,sdpg,3,small,ref,417467,413243,423497,75749536,75744311,75756143,48560843,48559113,48562616
42,cross,2.0,sdpg,5,balance,light,1033694,1029514,1039944,77874082,77790417,78013356,45820203,45818016,45822940
43,cross,2.0,sdpg,5,balance,ref,710456,706326,716647,73741319,73731596,73745569,45889775,45887482,45892409
44,cross,2.0,sdpg,5,fast,light,1033673,1029460,1039915,60582179,60574602,60586341,37699778,37698042,37702058
45,cross,2.0,sdpg,5,fast,ref,710453,706265,716499,57668881,57661290,57673011,38193917,38192129,38196207
46,cross,2.0,sdpg,5,small,light,1033761,1029516,1040322,139451445,139330822,139550315,80290195,80287678,80292970
47,cross,2.0,sdpg,5,small,ref,0,0,0,0,0,0,0,0,0
